,Cen04,Cen17,Cen05,Cen06,Cen15,Cen07,Cen16,Cen10,Cen14,Cen13,Cen03,Cen12
OTU_0063,0,0,0.00883218842001963,0,0,0.00099009900990099,0,0,0,0,0.000838222967309304,0
OTU_0064,0.00116414435389988,0,0.00196270853778214,0,0,0,0,0,0,0,0,0
OTU_0065,0.00116414435389988,0,0,0,0,0,0,0,0,0,0,0
OTU_0066,0,0,0,0,0,0,0,0.00439634764964491,0,0,0,0.00504818724185406
OTU_0067,0,0,0,0,0,0.00297029702970297,0.000265111346765642,0,0,0,0,0.00137677833868747
OTU_0068,0,0,0.00196270853778214,0,0,0,0.00212089077412513,0,0,0,0.00838222967309304,0
OTU_0069,0,0,0,0,0,0,0,0.000338180588434224,0,0,0,0
OTU_0070,0,0,0,0,0,0,0,0,0,0,0.00251466890192791,0
OTU_0071,0,0,0,0.000870322019147084,0,0.00198019801980198,0,0,0,0,0,0
OTU_0072,0.00116414435389988,0,0,0,0,0.00198019801980198,0,0,0,0,0,0
OTU_0073,0,0,0.00098135426889107,0,0,0.00495049504950495,0.00159066808059385,0,0,0,0.00167644593461861,0
OTU_0074,0.00232828870779977,0,0.00196270853778214,0,0,0.00099009900990099,0,0,0,0,0.000838222967309304,0
OTU_0075,0,0,0,0,0,0.00099009900990099,0,0,0,0,0,0
OTU_0076,0.00582072176949942,0,0.00294406280667321,0.00174064403829417,0,0.00396039603960396,0,0,0,0,0.00335289186923722,0
OTU_0077,0,0,0,0,0,0,0,0,0,0.00133689839572193,0,0
OTU_0078,0,0,0,0,0,0.00297029702970297,0,0,0,0,0,0
OTU_0079,0,0,0,0,0.00318268618714195,0.00099009900990099,0.00132555673382821,0,0,0,0,0
OTU_0080,0,0,0.00098135426889107,0,0,0,0,0,0,0,0,0
OTU_0081,0,0,0,0,0.0763844684914067,0,0,0,0.0137493389740878,0.000445632798573975,0,0.0133088572739789
OTU_0082,0.00232828870779977,0,0,0,0,0,0,0,0,0,0,0
OTU_0083,0,0.00171526586620926,0,0,0,0,0,0,0,0,0,0
OTU_0084,0,0,0.00098135426889107,0,0.00127307447485678,0,0,0,0,0,0,0.00137677833868747
OTU_0085,0,0,0,0,0,0,0.000530222693531283,0,0.00370174510840825,0,0,0
OTU_0086,0,0,0.00294406280667321,0,0,0,0,0,0,0,0,0
OTU_0087,0.00116414435389988,0,0,0,0,0.00099009900990099,0,0,0,0,0,0
OTU_0088,0.00349243306169965,0,0.00098135426889107,0,0,0,0,0,0.000528820729772607,0,0,0
OTU_0089,0,0,0.00098135426889107,0,0,0,0.000530222693531283,0,0,0,0,0
OTU_0090,0,0.00857632933104631,0,0,0,0,0,0,0,0,0,0
OTU_0091,0,0,0,0,0,0,0.000265111346765642,0,0,0,0.00167644593461861,0
OTU_0092,0,0,0.00588812561334642,0,0,0.00099009900990099,0,0,0,0,0,0
OTU_0093,0,0.00171526586620926,0,0,0,0,0,0,0,0,0,0
OTU_0094,0,0.00686106346483705,0,0,0,0,0,0,0,0,0,0
OTU_0095,0,0,0,0.000870322019147084,0,0,0.000265111346765642,0,0,0,0,0
OTU_0096,0,0,0,0,0,0,0.000795334040296925,0,0,0,0,0
OTU_0097,0,0,0,0,0,0.00297029702970297,0,0,0,0,0.00167644593461861,0
OTU_0098,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0099,0,0,0,0,0,0,0,0,0,0,0.00502933780385583,0
OTU_0100,0,0.00171526586620926,0,0,0,0,0,0,0,0,0,0
OTU_0101,0,0,0,0,0,0,0.000530222693531283,0,0,0,0,0
