DATASET_MULTIBAR
SEPARATOR COMMA
DATASET_LABEL, abundance

#define colors for each individual field column (use hexadecimal, RGB or RGBA notation; if using RGB/RGBA, COMMA cannot be used as SEPARATOR)
FIELD_COLORS,#FFFF00,#008000,#FFFF00,#FF0000,#FF0000,#FFFF00,#FF0000,#FF0000,#FFFF00,#FF0000,#FF0000,#FFFF00,#FF0000

#field labels
FIELD_LABELS,Cen04,Cen17,Cen05,Cen06,Cen15,Cen07,Cen16,Cen10,Cen01,Cen14,Cen13,Cen03,Cen12

#dataset scale: you can simply set the values where the scale will be drawn
DATASET_SCALE,0.00,0.005, 0.01, 0.1, 0.15, 0.2, 0.25

#yellow #FFFF00
#green #008000
#red #FF0000
LEGEND_TITLE,Classification 
LEGEND_SHAPES,1,1,1
LEGEND_COLORS,#FF0000,#008000,#FFFF00
LEGEND_LABELS,Fire-affected,Recovered,Reference

DATA
OTU_0093,0,0,0.00196270853778214,0.000870322019147084,0,0,0,0,0,0,0,0,0
OTU_0094,0.00116414435389988,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0095,0,0,0,0,0,0,0,0,0,0,0,0.000838222967309304,0
OTU_0096,0,0,0.00098135426889107,0,0,0,0,0,0,0,0,0,0
OTU_0097,0,0,0,0.000870322019147084,0,0,0,0,0,0,0,0,0
OTU_0098,0,0.00171526586620926,0,0,0,0,0,0,0,0,0,0,0
OTU_0099,0,0,0,0,0,0,0,0,0,0,0,0.000838222967309304,0
OTU_0100,0,0,0,0,0,0.00396039603960396,0.00344644750795334,0,0,0,0,0.000838222967309304,0
OTU_0101,0,0,0,0.00174064403829417,0,0,0,0,0,0,0,0.000838222967309304,0
OTU_0102,0,0,0,0,0,0,0.000265111346765642,0,0,0,0,0,0
OTU_0103,0.00349243306169965,0,0.00490677134445535,0.00261096605744125,0,0.0287128712871287,0,0,0,0,0,0,0
OTU_0104,0,0,0,0,0,0,0.000265111346765642,0,0,0.000528820729772607,0,0,0.0018357044515833
OTU_0105,0,0,0.00686947988223749,0,0,0,0,0,0,0,0,0,0
OTU_0106,0,0,0.00098135426889107,0,0,0.00594059405940594,0,0,0,0,0,0.000838222967309304,0
OTU_0107,0,0,0,0,0.060471037555697,0,0,0,0,0,0,0,0.0211106011932079
OTU_0108,0,0,0,0.00261096605744125,0,0,0,0,0,0,0,0,0
OTU_0109,0,0,0,0,0.0541056651814131,0,0.00556733828207847,0,0,0,0,0,0
OTU_0110,0,0,0,0,0,0,0,0,0.000959692898272553,0,0,0.000838222967309304,0
OTU_0111,0.00582072176949942,0,0,0.000870322019147084,0,0,0,0,0,0,0,0,0
OTU_0112,0,0,0,0.000870322019147084,0.00381922342457034,0,0.000265111346765642,0.00101454176530267,0,0.000528820729772607,0,0,0.00321248279027077
OTU_0113,0,0,0,0.000870322019147084,0,0.00792079207920792,0.000795334040296925,0,0,0,0,0,0
OTU_0114,0,0.00171526586620926,0,0,0,0,0,0,0,0,0,0,0
OTU_0115,0,0,0,0,0,0,0.000265111346765642,0,0,0,0,0,0.000458926112895824
OTU_0116,0.00116414435389988,0.00343053173241852,0,0,0,0.00099009900990099,0,0,0,0,0,0,0
OTU_0117,0,0,0.00098135426889107,0,0,0,0,0,0.00191938579654511,0,0,0,0
OTU_0118,0,0,0,0,0,0,0.00371155885471898,0,0,0,0,0,0
